type_Ghost_PREDICTION,type_Ghoul_PREDICTION,type_Goblin_PREDICTION,type_PREDICTION,id,bone_length,rotting_flesh,hair_length,has_soul,color
0.0275020879,0.7874492407,0.1850486398,Ghoul,3,0.4717744483003892,0.3879370564226163,0.7060866179614931,0.6985372637114671,black
0.0999141335,0.2774332464,0.6226525903,Goblin,6,0.4273322552448829,0.6450235934779244,0.5655579125765406,0.45146162277248664,white
0.0394991934,0.5497815013,0.4107193053,Ghoul,9,0.5496018888788191,0.4919305498709827,0.6603874948905774,0.44980917803846093,black
0.4851234257,0.2598362565,0.2550403476,Ghost,10,0.6380949687040852,0.6828674441443191,0.4714089892371896,0.35692447935151533,white
0.9151575565,0.0233801883,0.0614622161,Ghost,13,0.36176224182331124,0.583997388981309,0.37725649636512193,0.27636395430095423,black
0.8898774981,0.0381669179,0.0719555542,Ghost,14,0.2928897889156079,0.505851491144943,0.29792690556516904,0.10626291133397606,white
0.0431820825,0.5966905355,0.3601273596,Ghoul,15,0.5844562978819556,0.5516804730919008,0.628329912024545,0.49911784059537245,white
0.0352964364,0.4416301847,0.5230733752,Goblin,16,0.48552486264308314,0.4592423358344067,0.6577347021519275,0.5653366800178985,blue
0.1342956722,0.1198693141,0.7458350062,Goblin,17,0.4717570296566423,0.4079155119634046,0.4659922719274438,0.4066080346426972,blue
0.0254636835,0.7576804161,0.2168559134,Ghoul,18,0.5729527214299518,0.31645422144963853,0.6683882110903622,0.64069153156616,clear
0.8108682632,0.0396128073,0.1495189369,Ghost,20,0.3205419461599626,0.5616711702510598,0.3404461367159436,0.3389643608506416,white
0.0489779375,0.8328083754,0.1182136685,Ghoul,21,0.41370166663601465,0.5630312395770902,0.8226498342055855,0.5254446653491647,clear
0.2112326473,0.2661352754,0.5226320624,Goblin,24,0.13561463487318395,0.5134994492763852,0.5907637710612295,0.5492396350811746,clear
0.6639294624,0.0429764912,0.2930940688,Ghost,26,0.4576182456943254,0.8578101823126433,0.414918879334734,0.4420856211480749,clear
0.0173678566,0.6515986323,0.331033498,Ghoul,33,0.6281379528368588,0.4392520875993646,0.6375452862694215,0.6103209976983768,white
0.8503912687,0.0515834615,0.0980252773,Ghost,38,0.5126849963144569,0.6260724687811723,0.47033926974278645,0.23330879607351213,black
0.0739386156,0.4527849555,0.4732764363,Goblin,40,0.37950279825152977,0.5539216760079735,0.6588808367803141,0.6375384973248117,clear
0.8989451528,0.0319179036,0.0691370219,Ghost,41,0.2500577617354168,0.6122360145898703,0.28286163810979553,0.31191398702336076,blue
0.8310313821,0.073803857,0.0951647237,Ghost,42,0.3531752962474388,0.5753856229241963,0.5022458751303444,0.14140410246493493,white
0.0325936563,0.846109271,0.1212971136,Ghoul,43,0.4478504390165049,0.5644868086403372,0.7658031149672638,0.5679273463659914,clear
0.0523238666,0.754817605,0.192858547,Ghoul,44,0.5030254393959209,0.37795984696607177,0.4143506626164279,0.8364478532445255,clear
0.048859071,0.3669633865,0.584177494,Goblin,46,0.5951203409672623,0.36937163696476605,0.6215864691641507,0.41024228842589866,black
0.0501172543,0.502414763,0.4474679828,Ghoul,48,0.28437029887680865,0.20459901351834633,0.8270832039613956,0.6000115812296796,clear
0.1978903562,0.1200444475,0.6820651889,Goblin,49,0.47466639384796566,0.4282447632426354,0.36419980677178815,0.366822468871597,black
0.0778676122,0.3713496327,0.5507827401,Goblin,50,0.4434563699157796,0.5312089060996766,0.5178030284461085,0.5928781190440947,clear
0.0281896852,0.1310328394,0.8407775164,Goblin,51,0.39413901068983226,0.03940871610155387,0.5799694953949643,0.5947233907792913,clear
0.0160468984,0.7432787418,0.2406743318,Ghoul,52,0.6326746150845437,0.3889877396205964,0.723792855972625,0.5451095841804143,green
0.0548047908,0.282802701,0.6623924971,Goblin,53,0.5717541060297419,0.3712449422296153,0.5444494185546075,0.41637088260229255,green
0.0431033447,0.8607260585,0.0961705595,Ghoul,55,0.5562551734573848,0.8103938501409333,0.689320655547613,0.8878274884575238,blue
0.0542364568,0.69274652,0.2530170381,Ghoul,57,0.5243425076774092,0.38385333094676327,0.7580563801452407,0.40069523047773087,clear
0.0522777401,0.3293275237,0.6183947325,Goblin,59,0.554625965412402,0.3708810861757154,0.5078672918961085,0.5579274153876902,white
0.0241525173,0.641043067,0.3348044157,Ghoul,60,0.5879725960109469,0.546885035785316,0.6386987689427376,0.5510497158770515,white
0.0271977652,0.8450054526,0.1277968436,Ghoul,61,0.6904881728579825,0.7449560594310258,0.7082408588675015,0.6239384897623663,black
0.0300388336,0.1770470738,0.7929140329,Goblin,63,0.3467614659985456,0.313704182534835,0.6550069204326094,0.5590016699590189,white
0.0489372388,0.1762952358,0.774767518,Goblin,64,0.2984556251915397,0.3784945656491214,0.5529470320757048,0.609917653123177,clear
0.0095617194,0.9589238167,0.0315144509,Ghoul,65,0.5497399626600019,0.5179074770681487,0.8145692180921396,0.6798836311646418,clear
0.4406054318,0.1106662378,0.448728323,Goblin,66,0.3914291046291008,0.5814451977782966,0.5830589326795618,0.29501989601490525,black
0.0345593207,0.2932904959,0.672150135,Goblin,67,0.5089638383439511,0.4379650866828097,0.540076616473716,0.5383936443939418,black
0.6823228002,0.0870733038,0.2306038886,Ghost,68,0.5536397103966474,0.69666433824828,0.10920022079538874,0.39508322970188164,white
0.0274164099,0.6009238958,0.3716597259,Ghoul,74,0.4631057517642583,0.35105245621668046,0.527841717223586,0.7086891154851328,white
0.1415179223,0.084715493,0.7737665772,Goblin,76,0.3513371787418208,0.3984270897536595,0.4829354473946704,0.3165656367996537,clear
0.0394451916,0.5355799198,0.4249748886,Ghoul,77,0.41146807057099966,0.49013447385260933,0.6071321191426291,0.6917143833672279,white
0.0246032346,0.1416739374,0.8337228298,Goblin,78,0.46078681569124746,0.29112984364903377,0.5768509785886798,0.5859320699148629,white
0.0476856343,0.4264832735,0.5258311033,Goblin,81,0.3732384900476674,0.3727719089469302,0.5499039097731463,0.6699943078168068,white
0.4837096035,0.0377852842,0.4785051644,Ghost,83,0.2651505074250043,0.2352658371456831,0.3419555636522268,0.36000510099720223,clear
0.0359792076,0.5763219595,0.3876988888,Ghoul,87,0.5289359317300588,0.5730908108487507,0.6301247011737423,0.5259679653002403,white
0.0281243529,0.8626272082,0.1092483848,Ghoul,92,0.4474613862340273,0.5396578693664149,0.7857486817588856,0.6334096181566857,white
0.0322861522,0.8853684068,0.0823454335,Ghoul,97,0.3107614700024738,0.4568843765822272,0.7919072485638046,0.7702746712394052,clear
0.0202119108,0.8929879069,0.0868001804,Ghoul,98,0.4881260307968032,0.5770131382289531,0.8014966386705478,0.5121134567646318,white
0.1331747174,0.0928834304,0.7739418745,Goblin,99,0.4348897813353749,0.4433957845631879,0.4605653831956971,0.3466742193397672,clear
0.0285443421,0.2316931039,0.739762485,Goblin,100,0.421851948939279,0.4428466672204133,0.5875448490608994,0.551073138557929,clear
0.0778995678,0.3307471573,0.5913532972,Goblin,101,0.48466842436630975,0.7491364938881327,0.5760788093716763,0.6120893199628784,clear
0.95917207,0.0113382321,0.0294897687,Ghost,102,0.32712863297648165,0.6267456957699981,0.22619923643603662,0.12258858593339267,white
0.0798104554,0.1175810471,0.80260849,Goblin,104,0.3646669528697617,0.40547867384392294,0.6107992522689029,0.4104639485951505,clear
0.1522002071,0.0935373977,0.7542624474,Goblin,105,0.2684483979734463,0.031917989813814406,0.6050184753009145,0.325474988646481,white
0.7970744967,0.0259125326,0.1770129353,Ghost,106,0.29489166420134527,0.6998140566011373,0.30354310390705,0.3851643458990113,clear
0.0855311304,0.1086716652,0.8057971597,Goblin,108,0.46904802043777466,0.22107962761520167,0.5160276134737044,0.3210547791377947,black
0.0708907396,0.4682781398,0.4608311057,Ghoul,110,0.3110659038827984,0.5144600081121774,0.6113844284806541,0.6617420201398048,green
0.0137645938,0.9030429721,0.0831924155,Ghoul,112,0.5600167547432545,0.5402979251356519,0.6556323977545805,0.8502959564386291,white
0.8270524144,0.0444652289,0.1284823865,Ghost,114,0.498107966176188,0.6742604810845773,0.447133974458846,0.14396458961488995,white
0.1010842547,0.5047905445,0.3941252232,Ghoul,116,0.6008422098396432,0.5738942493696408,0.6739903067495482,0.392516279831907,green
0.0202880688,0.8689473867,0.1107644811,Ghoul,117,0.5197331893692335,0.5756271901129706,0.6125383817783723,0.7706989147296963,blue
0.6530805826,0.0433379002,0.3035815358,Ghost,120,0.35159978514094675,0.3885612990948275,0.4358205795499609,0.1678721567333141,clear
0.082791537,0.1681595892,0.7490488887,Goblin,121,0.5207219128210339,0.22349455000144927,0.44207117312188104,0.476938583721307,white
0.0244931914,0.7587690353,0.2167378366,Ghoul,122,0.5678544682912564,0.19100139300868096,0.6320850479512504,0.683249916667319,green
0.0683834702,0.4688892066,0.4627273381,Ghoul,123,0.5715237258714361,0.645111180074177,0.5359553987148031,0.5893907849709461,green
0.0213364195,0.9315428734,0.0471206531,Ghoul,124,0.39895482294134244,0.4969704793178844,0.7660464139526114,0.7632429967123413,white
0.0831607655,0.6899413466,0.2268978357,Ghoul,126,0.2230473300820926,0.5916437723872451,0.678433442264705,0.7363128279496082,clear
0.5323566198,0.1355209351,0.3321224153,Ghost,127,0.5604250789900155,0.6111158705445667,0.4327507584631401,0.4360939003661865,white
0.0733116642,0.6414499283,0.285238415,Ghoul,132,0.5831878632656119,0.5029607306811185,0.7031419684684374,0.4126715730338701,black
0.2568650842,0.1231661215,0.6199687719,Goblin,134,0.566765549410427,0.45216521412041333,0.2793792276833496,0.42426129614067765,clear
0.4053407013,0.1229327172,0.4717265666,Goblin,135,0.42745693519486466,0.7317272800057918,0.4235938564295579,0.5584982454402474,green
0.0680446401,0.320466429,0.6114889383,Goblin,136,0.5879786328069911,0.6806840997917202,0.5976797875957203,0.5440186382444387,black
0.0306074806,0.757529974,0.2118625641,Ghoul,137,0.7076771524114055,0.5570290655278608,0.5468306750244102,0.6333393125002545,clear
0.031418182,0.2920818031,0.6764999628,Goblin,138,0.5133438195136264,0.4467483149202369,0.52772873212851,0.5371880208195384,clear
0.0336071923,0.5181640983,0.4482287467,Ghoul,139,0.6130471913126025,0.5456481858361308,0.5868912751861909,0.5891426470813999,white
0.0297387019,0.521355927,0.4489053786,Ghoul,140,0.4003540586980651,0.2973307753651984,0.6715746725877639,0.6552817865005405,clear
0.026520595,0.3617691398,0.6117102504,Goblin,144,0.5251502639285929,0.20133168405438107,0.6351042975338347,0.5449899944926119,clear
0.7948555946,0.0305232592,0.1746211201,Ghost,145,0.3049521570434575,0.47317754847053334,0.45526121790501173,0.24160244762751018,clear
0.0942992717,0.0624828115,0.8432179689,Goblin,146,0.4379531099548981,0.26977211805399415,0.4488736066152935,0.4088860522131197,black
0.7820078135,0.0264150165,0.1915771961,Ghost,147,0.2549919738109668,0.4854969484492118,0.3601324996709283,0.31697487306531913,green
0.0197629072,0.1575569212,0.8226801753,Goblin,148,0.48693828817428053,0.0,0.5921285828784681,0.4597779759733987,white
0.021654563,0.6569076777,0.3214377761,Ghoul,149,0.5116952682263662,0.5173072817045169,0.6472811243349524,0.5957399506910853,white
0.0196526572,0.8695967793,0.1107505485,Ghoul,150,0.407437058749669,0.4165783717779933,0.7519001579447488,0.4977008300128979,clear
0.7398806214,0.0321652703,0.2279541194,Ghost,151,0.4023413508033286,0.5655693200826903,0.42002429814883785,0.3809206591600883,black
0.8924601078,0.0259285849,0.0816113055,Ghost,152,0.38538968025421183,0.5319981242138038,0.15923382443344156,0.254646416511589,clear
0.8523665667,0.0285672899,0.1190661937,Ghost,153,0.0,0.2881350540654788,0.450938371405229,0.20026171861534245,white
0.0650168732,0.0733216107,0.8616614938,Goblin,154,0.4379680214965543,0.30300489586436485,0.3848358999501954,0.4931597521081325,white
0.8713809252,0.0225463398,0.106072709,Ghost,156,0.167284592262925,0.7737429355286426,0.4468837428067572,0.3413831831453281,clear
